# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
emr-1,t25f10.3
emr-1,k03d3.2
emr-1,nceh-1
emr-1,t20d4.11
emr-1,f44a6.5
emr-1,spp-13
emr-1,f20a1.10
emr-1,his-25
emr-1,d1086.3
emr-1,cyp-13b1
emr-1,his-13
emr-1,his-9
emr-1,cex-1
emr-1,ttr-44
emr-1,c14f11.6
emr-1,fmo-1
emr-1,ifd-1
emr-1,c26b9.7
emr-1,c27a7.1
emr-1,bre-1
emr-1,sri-40
emr-1,m04c3.1
emr-1,c25d7.5
emr-1,pho-8
emr-1,acn-1
emr-1,his-54
emr-1,his-52
emr-1,f58b4.5
emr-1,math-4
emr-1,his-22
emr-1,his-20
emr-1,gale-1
emr-1,elp-1
emr-1,c06c3.4
emr-1,inx-15
emr-1,e04d5.4
emr-1,kvs-5
emr-1,t13f2.4
emr-1,f35c12.3
emr-1,cuti-1
emr-1,sqv-5
emr-1,b0546.4
emr-1,mboa-1
emr-1,zk1307.1
emr-1,cyp-33a1
emr-1,t28d9.4
emr-1,f13b9.2
emr-1,haf-9
emr-1,t05h4.7
emr-1,cutc-1
emr-1,w03f11.1
emr-1,pif-1
emr-1,y34d9a.7
emr-1,prdx-3
emr-1,nep-16
emr-1,t22b7.3
emr-1,nas-8
emr-1,k10c9.3
emr-1,c33g8.2
emr-1,hmit-1.1
emr-1,f08f1.14
emr-1,zk355.8
emr-1,grd-3
emr-1,y57g11b.5
emr-1,y67a10a.10
emr-1,grd-14
emr-1,f41e6.12
emr-1,lsy-27
emr-1,c28c12.4
emr-1,fip-5
emr-1,ptr-24
emr-1,f02e8.4
emr-1,alp-1
emr-1,f26a1.9
emr-1,vit-1
emr-1,vit-4
emr-1,f22h10.3
emr-1,y69a2ar.12
emr-1,spe-6
emr-1,him-4
emr-1,c31c9.7
emr-1,cpt-4
emr-1,t21g5.2
emr-1,f35f10.13
emr-1,f42g4.2
emr-1,lgc-32
emr-1,feh-1
emr-1,cnc-3
emr-1,m03c11.1
emr-1,nlp-33
emr-1,c53a3.2
emr-1,y71g12a.4
emr-1,col-158
emr-1,f35e8.10
emr-1,f47b3.3
emr-1,efhd-1
emr-1,lys-6
emr-1,t17h7.7
emr-1,k01d12.5
emr-1,snf-7
emr-1,f41c6.4
emr-1,y66d12a.3
emr-1,y95b8a.2
emr-1,y51f10.7
emr-1,f13h8.5
emr-1,f07c6.2
emr-1,t23f2.2
emr-1,dhhc-5
emr-1,zfp-1
emr-1,dao-2
emr-1,c05d10.4
emr-1,f11e6.9
emr-1,y38h8a.1
emr-1,aagr-4
emr-1,w04a8.4
emr-1,phf-15
emr-1,y47d7a.15
emr-1,m02g9.2
emr-1,b0511.11
emr-1,bus-8
emr-1,acs-20
emr-1,btb-6
emr-1,t20d4.12
emr-1,swt-1
emr-1,dpy-7
emr-1,psa-3
emr-1,lpr-3
emr-1,f47g9.4
emr-1,dop-4
emr-1,ins-5
emr-1,lst-4
emr-1,grl-4
emr-1,h25p19.1
emr-1,col-92
emr-1,col-94
emr-1,f26f2.7
emr-1,cpg-4
emr-1,zip-4
emr-1,let-99
emr-1,daf-18
emr-1,c05d2.8
emr-1,r07e5.4
emr-1,zk6.8
emr-1,c27c12.3
emr-1,phf-10
emr-1,c09h10.10
emr-1,f49h12.5
emr-1,h02i12.5
emr-1,sop-3
emr-1,era-1
emr-1,rme-2
emr-1,c01g8.1
emr-1,mex-1
emr-1,egg-2
emr-1,gyg-2
emr-1,cal-5
emr-1,puf-6
emr-1,col-155
emr-1,unc-71
emr-1,puf-7
emr-1,pie-1
emr-1,oma-2
emr-1,xpo-2
emr-1,gfat-2
emr-1,agl-1
emr-1,cpg-1
emr-1,mig-5
emr-1,adt-2
emr-1,cnc-8
emr-1,f21a3.3
emr-1,col-154
emr-1,dlc-4
emr-1,ssu-2
emr-1,pho-6
emr-1,c34c12.7
emr-1,grl-10
emr-1,wbgene00020848
emr-1,lips-10
emr-1,srr-4
emr-1,cdf-2
emr-1,set-30
emr-1,nhr-3
emr-1,k10d6.4
emr-1,ptp-1
emr-1,spi-1
emr-1,tat-2
emr-1,c42d4.2
emr-1,twk-18
emr-1,tdo-2
emr-1,tag-273
emr-1,t01e8.1
emr-1,h36l18.2
emr-1,cal-2
emr-1,exc-9
emr-1,wbgene00021874
emr-1,fbxa-156
emr-1,flp-11
emr-1,y32f6b.1
emr-1,plx-2
emr-1,aqp-10
emr-1,t24b8.3
emr-1,y11d7a.9
emr-1,cyn-6
emr-1,ugt-33
emr-1,f48f7.5
emr-1,inx-3
emr-1,acl-7
emr-1,plep-1
emr-1,w03f8.6
emr-1,sel-12
emr-1,f10d11.4
emr-1,f44g3.2
emr-1,f26a3.5
emr-1,f58h1.6
emr-1,t27a3.5
emr-1,f01g10.6
emr-1,oac-23
emr-1,y43c5b.2
emr-1,d1054.9
emr-1,clec-98
emr-1,c53b7.6
emr-1,cutl-14
emr-1,tag-344
emr-1,ugt-6
emr-1,t24c2.5
emr-1,t25d10.4
emr-1,asp-10
emr-1,t28d6.6
emr-1,ifet-1
emr-1,asp-12
emr-1,hil-4
emr-1,y54e10br.3
emr-1,f07c3.9
emr-1,mdt-8
emr-1,ced-3
emr-1,cey-2
emr-1,cec-7
emr-1,y67d2.7
emr-1,mcm-7
emr-1,mcm-5
emr-1,clec-87
emr-1,col-133
emr-1,c49f5.3
emr-1,zen-4
emr-1,mis-12
emr-1,tag-276
emr-1,c31g12.1
emr-1,f11e6.7
emr-1,gpd-4
emr-1,y67h2a.10
emr-1,rnr-2
emr-1,k09h9.2
emr-1,puf-5
emr-1,npp-2
emr-1,ztf-25
emr-1,fzy-1
emr-1,cdt-1
emr-1,pos-1
emr-1,f58e1.13
emr-1,b0393.3
emr-1,c05c10.5
emr-1,cept-2
emr-1,cyb-3
emr-1,his-68
emr-1,f56f11.4
emr-1,f30b5.4
emr-1,dsh-2
emr-1,f59e12.1
emr-1,c02b10.4
emr-1,f26g5.1
emr-1,t05b9.1
emr-1,nhr-31
emr-1,y11d7a.5
emr-1,bcl-11
emr-1,srx-45
emr-1,ipla-7
emr-1,lon-8
emr-1,w08e12.5
emr-1,w08e12.4
emr-1,tag-241
emr-1,t20b6.3
emr-1,chs-2
emr-1,dct-5
emr-1,t20b5.2
emr-1,ceh-22
emr-1,k08e7.5
emr-1,col-89
emr-1,srr-1
emr-1,c35a5.11
emr-1,egal-1
emr-1,w01a8.6
emr-1,pes-8
emr-1,y53f4b.23
emr-1,c05g5.7
emr-1,col-104
emr-1,egap9.3
emr-1,cutl-15
emr-1,hex-2
emr-1,r11.2
emr-1,mam-1
emr-1,f58h1.2
emr-1,t06e4.10
emr-1,w02b12.13
emr-1,spp-7
emr-1,nab-1
emr-1,f15b9.8
emr-1,lron-2
emr-1,inx-12
emr-1,c31h2.3
emr-1,lim-8
emr-1,r102.11
emr-1,r08a2.5
emr-1,col-71
emr-1,cpg-7
emr-1,suro-1
emr-1,aex-3
emr-1,mlt-9
emr-1,lgc-31
emr-1,f46g11.6
emr-1,c02f4.4
emr-1,t01b7.8
emr-1,c32h11.5
emr-1,nas-7
emr-1,h23n18.5
emr-1,grd-6
emr-1,wbgene00044351
emr-1,y57g11c.42
emr-1,col-77
emr-1,col-80
emr-1,bli-3
emr-1,y37d8a.16
emr-1,f11d5.1
emr-1,zk328.6
emr-1,c54f6.3
emr-1,ephx-1
emr-1,t23f6.1
emr-1,f10g8.8
emr-1,amx-3
emr-1,col-131
emr-1,f52f10.2
emr-1,c54g4.4
emr-1,lat-2
emr-1,f11e6.8
emr-1,c34b2.11
emr-1,r90.1
emr-1,doxa-1
emr-1,lin-44
emr-1,c03f11.2
emr-1,nspb-6
emr-1,eva-1
emr-1,flp-34
emr-1,f20d6.5
emr-1,col-113
emr-1,col-115
emr-1,elo-4
emr-1,k10h10.4
emr-1,f28c6.5
emr-1,f42h10.3
emr-1,c04g6.10
emr-1,h03e18.1
emr-1,t24c12.4
emr-1,r12c12.10
emr-1,r74.2
emr-1,clec-72
emr-1,t22e5.6
emr-1,f01g10.9
emr-1,clec-180
emr-1,zk829.3
emr-1,f57f5.3
emr-1,lips-3
emr-1,y47d3b.1
emr-1,k01a2.5
emr-1,b0334.6
emr-1,b0334.13
emr-1,grsp-2
emr-1,unc-49
emr-1,grl-15
emr-1,fkb-4
emr-1,f54d1.6
emr-1,f46f3.3
emr-1,f30a10.2
emr-1,ptr-4
emr-1,gpa-17
emr-1,y54f10am.6
emr-1,pqn-13
emr-1,mab-7
emr-1,acdh-6
emr-1,y64h9a.2
emr-1,h10e21.4
emr-1,t10e9.3
emr-1,zk792.4
emr-1,t08g5.3
emr-1,t01e8.8
emr-1,b0280.7
emr-1,nep-21
emr-1,t09f5.1
emr-1,y45f10a.7
emr-1,m03e7.2
emr-1,m03e7.4
emr-1,m03f4.6
emr-1,lagr-1
emr-1,c05e7.2
emr-1,gst-10
emr-1,rga-2
emr-1,r07b1.13
emr-1,col-146
emr-1,swip-10
emr-1,uig-1
emr-1,pha-4
emr-1,f38h4.3
emr-1,zc513.2
emr-1,lpr-4
emr-1,lon-3
emr-1,f31e3.2
emr-1,k03b8.6
emr-1,math-35
emr-1,che-14
emr-1,hhat-1
emr-1,c35a5.10
emr-1,unc-31
emr-1,col-58
emr-1,col-61
emr-1,r13h4.8
emr-1,c49f8.3
emr-1,col-147
emr-1,y38c1aa.6
emr-1,osr-1
emr-1,b0403.5
emr-1,col-12
emr-1,let-522
emr-1,f41g3.3
emr-1,ghi-1
emr-1,zc123.4
emr-1,y97e10c.1
emr-1,c15c6.1
emr-1,c04a11.1
emr-1,c34e7.4
emr-1,k07e8.6
emr-1,c07e3.10
emr-1,k01d12.8
emr-1,f39d8.3
emr-1,egl-18
emr-1,fbxc-36
emr-1,rnp-1
emr-1,htz-1
emr-1,rmd-1
emr-1,f30f8.5
emr-1,vab-2
emr-1,f36h1.11
emr-1,nhl-2
emr-1,eat-20
emr-1,deps-1
emr-1,lip-1
emr-1,nspb-7
emr-1,alg-2
emr-1,bath-28
emr-1,y66d12a.16
emr-1,set-33
emr-1,t01b7.13
emr-1,lin-41
emr-1,hinf-1
emr-1,attf-3
emr-1,c08b6.4
emr-1,c04e6.4
emr-1,k08e4.7
emr-1,c23h4.4
emr-1,c17g10.3
emr-1,y69a2ar.19
emr-1,k09c6.7
emr-1,f53b2.5
emr-1,r07e3.4
emr-1,t15b12.2
emr-1,f42g8.8
emr-1,wht-5
emr-1,hdl-2
emr-1,t06c10.3
emr-1,f38e1.3
emr-1,c31h1.1
emr-1,f43e2.6
emr-1,tag-314
emr-1,fbxa-209
emr-1,wbgene00016515
emr-1,f44g3.7
emr-1,m28.9
emr-1,w07a12.8
emr-1,sdz-3
emr-1,y38f1a.1
emr-1,w02b12.12
emr-1,y69e1a.3
emr-1,klp-17
emr-1,k09f6.4
emr-1,irld-1
emr-1,c17h12.3
emr-1,f27c1.3
emr-1,f47d12.7
emr-1,y50e8a.10
emr-1,f59a6.2
emr-1,f41e6.15
emr-1,c33f10.12
emr-1,d1022.9
emr-1,t26c12.2
emr-1,f02d8.5
emr-1,y113g7c.1
emr-1,f58e6.5
emr-1,b0207.1
emr-1,tag-164
emr-1,y53f4b.19
emr-1,t11b7.2
emr-1,w02a2.8
emr-1,f54h5.2
emr-1,acdh-5
emr-1,y116a8c.23
emr-1,ugt-17
emr-1,c17h12.4
emr-1,f40f12.3
emr-1,f16h6.7
emr-1,c40c9.3
emr-1,t05f1.2
emr-1,col-13
emr-1,col-140
emr-1,col-137
emr-1,col-143
emr-1,col-126
emr-1,f44e7.2
emr-1,col-120
emr-1,c10g8.4
emr-1,gst-19
emr-1,clec-258
emr-1,col-60
emr-1,col-127
emr-1,y37a1b.5
emr-1,ptr-13
emr-1,t28c6.10
emr-1,y60a3a.23
emr-1,cpr-3
emr-1,f49f1.5
emr-1,m110.9
emr-1,zwl-1
emr-1,his-53
emr-1,y54f10bm.1
emr-1,his-51
emr-1,c32h11.11
emr-1,c32h11.8
emr-1,nasp-1
emr-1,mex-3
emr-1,egg-1
emr-1,c08f8.3
emr-1,ima-2
emr-1,f17a9.4
emr-1,his-21
emr-1,his-19
emr-1,plk-3
emr-1,plk-1
emr-1,sna-2
emr-1,b0365.9
emr-1,zk686.2
emr-1,c42c1.8
emr-1,wbgene00018416
emr-1,r04d3.3
emr-1,r02f2.4
emr-1,cpg-2
emr-1,zyg-1
emr-1,r07e4.5
emr-1,c43f9.11
emr-1,pde-12
emr-1,swsn-7
emr-1,meg-1
emr-1,ztf-1
emr-1,f46b6.5
emr-1,f26b1.2
emr-1,t24f1.7
emr-1,bli-2
emr-1,c38d4.4
emr-1,d2045.8
emr-1,c28a5.2
emr-1,npl-4.2
emr-1,f58d5.2
emr-1,f07a11.5
emr-1,idh-1
emr-1,y75b8a.4
emr-1,f44e7.5
emr-1,d1044.1
emr-1,f10e7.11
emr-1,zk484.6
emr-1,f13h10.8
emr-1,f41g3.18
emr-1,f48g7.5
emr-1,y57g11b.2
emr-1,abts-4
emr-1,f21c10.9
emr-1,b0244.4
emr-1,y47g6a.19
emr-1,c17b7.9
emr-1,f58a6.9
emr-1,f58f9.7
emr-1,c24a3.4
emr-1,f55a4.8
emr-1,zc373.5
emr-1,c06a8.3
emr-1,zk550.4
emr-1,c45b2.8
emr-1,c06g4.1
emr-1,mpst-1
emr-1,sas-5
emr-1,c47g2.4
emr-1,hmg-4
emr-1,y48b6a.13
emr-1,osta-3
emr-1,pfd-6
emr-1,htp-3
emr-1,f58g11.3
emr-1,rha-1
emr-1,y14h12b.1
emr-1,cyn-11
emr-1,smc-6
emr-1,otub-4
emr-1,ptc-1
emr-1,num-1
emr-1,f40f8.11
emr-1,snr-2
emr-1,sqv-3
emr-1,f54d5.2
emr-1,bli-4
emr-1,mes-2
emr-1,y6b3b.9
emr-1,lag-1
emr-1,gpd-1
emr-1,sup-17
emr-1,b0564.7
emr-1,let-49
emr-1,nfya-1
emr-1,sel-10
emr-1,cids-2
emr-1,ufd-3
emr-1,prp-17
emr-1,npp-16
emr-1,bath-3
emr-1,rskn-1
emr-1,rec-8
emr-1,f49c12.9
emr-1,m04f3.5
emr-1,c36a4.4
emr-1,npp-6
emr-1,rsp-1
emr-1,wago-1
emr-1,c27f2.7
emr-1,sur-2
emr-1,c41h7.5
emr-1,srgp-1
emr-1,gln-6
emr-1,gln-5
emr-1,mlh-1
emr-1,clpf-1
emr-1,ceh-100
emr-1,attf-6
emr-1,y23h5a.3
emr-1,sumv-1
emr-1,fsn-1
emr-1,k01d12.6
emr-1,f33h2.2
emr-1,y54f10am.8
emr-1,c52b9.8
emr-1,nmy-1
emr-1,ucp-4
emr-1,f25b5.3
emr-1,c02f12.8
emr-1,hpo-40
emr-1,frl-1
emr-1,c13b4.1
emr-1,y17d7b.10
emr-1,r02e4.3
emr-1,cpna-2
emr-1,osta-2
emr-1,y65b4bl.6
emr-1,d1086.10
emr-1,t07h6.1
emr-1,c15c7.5
emr-1,kgb-1
emr-1,y73f8a.26
emr-1,t03d8.6
emr-1,f26g1.3
emr-1,zk849.6
emr-1,mrp-8
emr-1,y1a5a.1
emr-1,k09c4.10
emr-1,dao-4
emr-1,elt-1
emr-1,gdi-1
emr-1,t04a8.7
emr-1,c31b8.12
emr-1,mocs-1
emr-1,mtm-6
emr-1,smg-1
emr-1,trak-1
emr-1,dhhc-8
emr-1,y79h2a.3
emr-1,lat-1
emr-1,f53h1.4
emr-1,c46c2.2
emr-1,b0563.6
emr-1,nep-1
emr-1,m01g5.3
emr-1,k04a8.1
emr-1,y41e3.1
emr-1,t20f7.1
emr-1,m02e1.1
emr-1,m01e5.3
emr-1,btf-1
emr-1,t20f5.7
emr-1,tag-266
emr-1,abu-4
emr-1,y5h2a.5
emr-1,y75b8a.13
emr-1,f59d8.3
emr-1,emb-4
emr-1,t27a10.8
emr-1,tag-153
emr-1,f12f6.17
emr-1,r07b1.5
emr-1,t28a11.6
emr-1,dpf-3
emr-1,magi-1
emr-1,ash-2
emr-1,f28c10.3
emr-1,smg-6
emr-1,zfp-3
emr-1,r01h10.7
emr-1,sams-4
emr-1,m01b12.4
emr-1,zk973.11
emr-1,dhs-17
emr-1,mvb-12
emr-1,w02b8.2
emr-1,y62e10a.13
emr-1,y111b2a.24
emr-1,pkc-1
emr-1,wdr-48
emr-1,e02h1.1
emr-1,zk652.8
emr-1,f55c12.5
emr-1,f19b10.1
emr-1,his-41
emr-1,nhr-95
emr-1,w03a5.2
emr-1,c36e6.8
emr-1,spp-14
emr-1,k09b11.4
emr-1,acd-5
emr-1,math-20
emr-1,ugt-61
emr-1,y81g3a.1
emr-1,zk945.8
emr-1,f36h12.9
emr-1,y54e2a.7
emr-1,c46h11.2
emr-1,best-21
emr-1,y51a2d.7
emr-1,glna-3
emr-1,d2005.1
emr-1,gpi-1
emr-1,abhd-5.2
emr-1,duxl-1
emr-1,lsy-12
emr-1,m199.2
emr-1,gadr-6
emr-1,c31e10.6
emr-1,suox-1
emr-1,faah-2
emr-1,nhr-66
emr-1,k08b12.3
emr-1,f33e11.3
emr-1,nuo-4
emr-1,y54g11a.7
emr-1,y56a3a.16
emr-1,m01e5.2
emr-1,igdb-2
emr-1,zc504.3
emr-1,dkf-2
emr-1,bed-1
emr-1,k04c2.5
emr-1,col-49
emr-1,col-175
emr-1,t02c1.1
emr-1,c27d9.2
emr-1,chup-1
emr-1,f49e12.8
emr-1,t02h6.11
emr-1,math-47
emr-1,nono-1
emr-1,c25f9.6
emr-1,mpk-1
emr-1,h14e04.2
emr-1,hasp-2
emr-1,lin-65
emr-1,f02a9.4
emr-1,trpp-10
emr-1,y105c5a.1
emr-1,srpa-72
emr-1,d1065.3
emr-1,npp-20
emr-1,mnat-1
emr-1,rsd-2
emr-1,c04f5.9
emr-1,aat-3
emr-1,unc-11
emr-1,clr-1
emr-1,y54e5a.7
emr-1,srd-59
emr-1,b0546.3
emr-1,k03b4.1
emr-1,y59a8b.21
emr-1,cnb-1
emr-1,f31b9.2
emr-1,c28g1.6
emr-1,c04f12.16
emr-1,21ur-9599
emr-1,k02f6.3
emr-1,f56b3.4
emr-1,21ur-8771
emr-1,21ur-14252
emr-1,dyn-1
emr-1,nhr-133
emr-1,vps-15
emr-1,c17e4.11
emr-1,f55a11.4
emr-1,21ur-7204
emr-1,y40b1b.8
emr-1,21ur-5481
emr-1,mafr-1
emr-1,21ur-13826
emr-1,f22b7.14
emr-1,t21h3.5
emr-1,zk616.62
emr-1,y67d8a.2
emr-1,sec-20
emr-1,coq-6
emr-1,21ur-14864
emr-1,nrd-1
emr-1,ekl-6
emr-1,y95b8a.8
emr-1,f30a10.13
emr-1,f58g1.2
emr-1,otub-2
emr-1,zc250.6
emr-1,t26c5.3
emr-1,21ur-2146
emr-1,f08f1.t2
emr-1,egl-10
emr-1,tct-1
emr-1,f07f6.10
emr-1,21ur-13402
emr-1,21ur-1651
emr-1,c48a7.12
emr-1,21ur-2944
emr-1,zk809.9
emr-1,21ur-3401
emr-1,zc250.7
emr-1,21ur-9054
emr-1,c02d5.4
emr-1,tag-272
emr-1,21ur-12443
emr-1,21ur-8141
emr-1,21ur-1235
emr-1,21ur-14806
emr-1,21ur-4114
emr-1,w09c2.7
emr-1,f31e3.8
emr-1,21ur-7528
emr-1,c41g7.13
emr-1,21ur-5327
emr-1,f11g11.14
emr-1,21ur-8005
emr-1,zk180.10
emr-1,21ur-15167
emr-1,21ur-12579
emr-1,zk682.12
emr-1,21ur-15033
emr-1,21ur-12975
emr-1,21ur-4885
emr-1,21ur-12461
emr-1,21ur-15298
emr-1,zk180.12
emr-1,c05b5.12
emr-1,21ur-12985
emr-1,r10e11.11
emr-1,21ur-14528
emr-1,21ur-15173
emr-1,21ur-13592
emr-1,f21c3.t1
emr-1,21ur-12050
emr-1,k07c5.2
emr-1,21ur-11120
emr-1,f21a3.10
emr-1,21ur-1241
emr-1,21ur-7858
emr-1,21ur-15194
emr-1,21ur-12533
emr-1,21ur-11351
emr-1,21ur-10128
emr-1,k09c8.9
emr-1,21ur-3193
emr-1,21ur-13493
emr-1,t01g1.4
emr-1,21ur-6337
emr-1,21ur-8227
emr-1,21ur-5766
emr-1,f53f4.15
emr-1,21ur-6210
emr-1,21ur-6256
emr-1,21ur-7736
emr-1,21ur-3692
emr-1,21ur-15006
emr-1,k11h12.1
emr-1,21ur-2158
emr-1,21ur-2494
emr-1,f35h10.14
emr-1,21ur-12431
emr-1,c25f6.8
emr-1,f48g7.8
emr-1,21ur-9861
emr-1,21ur-12783
emr-1,21ur-7085
emr-1,21ur-7320
emr-1,21ur-14367
emr-1,21ur-13973
emr-1,21ur-15625
emr-1,21ur-9829
lem-2,b0024.4
lem-2,clec-73
lem-2,ssp-16
lem-2,f53a9.6
lem-2,zc477.7
lem-2,ssp-35
lem-2,c50e10.1
lem-2,f47b3.2
lem-2,zk1248.5
lem-2,col-180
lem-2,col-149
lem-2,col-39
lem-2,col-7
lem-2,kin-24
lem-2,f26a1.6
lem-2,f41d9.2
lem-2,hsp-70
lem-2,t19b10.2
lem-2,f53b3.6
lem-2,c23g10.6
lem-2,f13a7.11
lem-2,c25d7.5
lem-2,acn-1
lem-2,y39a1a.24
lem-2,f47d12.6
lem-2,tre-3
lem-2,k08e4.6
lem-2,y38e10a.17
lem-2,nspd-4
lem-2,y49e10.10
lem-2,alp-1
lem-2,nspd-7
lem-2,gpdh-1
lem-2,t07a9.12
lem-2,nas-15
lem-2,y38h6c.15
lem-2,cnc-3
lem-2,nlp-33
lem-2,zyx-1
lem-2,k01d12.5
lem-2,h13n06.2
lem-2,sqt-3
lem-2,r07b1.9
lem-2,rol-8
lem-2,kin-5
lem-2,bus-8
lem-2,dur-1
lem-2,dpy-7
lem-2,f52f12.5
lem-2,y55b1ar.2
lem-2,col-92
lem-2,tol-1
lem-2,ssu-2
lem-2,tag-243
lem-2,sup-12
lem-2,flp-8
lem-2,spi-1
lem-2,molo-1
lem-2,ins-37
lem-2,sto-5
lem-2,cal-2
lem-2,e03h4.8
lem-2,f01f1.3
lem-2,f48f7.5
lem-2,w03f8.6
lem-2,f10d11.4
lem-2,t08g3.7
lem-2,f58d5.8
lem-2,t05c12.4
lem-2,t08b6.9
lem-2,f46a9.2
lem-2,lon-8
lem-2,sqt-1
lem-2,mam-2
lem-2,pes-8
lem-2,rol-6
lem-2,f22f4.1
lem-2,abu-11
lem-2,f35a5.4
lem-2,r102.11
lem-2,mlt-9
lem-2,pqn-74
lem-2,dpy-13
lem-2,t06g6.6
lem-2,y47d3b.6
lem-2,unc-96
lem-2,y81g3a.4
lem-2,sul-3
lem-2,abu-13
lem-2,ketn-1
lem-2,eva-1
lem-2,col-109
lem-2,abu-10
lem-2,t24b8.4
lem-2,col-168
lem-2,ajm-1
lem-2,b0334.6
lem-2,ptl-1
lem-2,f49e2.5
lem-2,r02f11.1
lem-2,zk792.4
lem-2,t08g5.3
lem-2,y65b4bl.1
lem-2,tag-163
lem-2,tsp-8
lem-2,col-48
lem-2,pha-4
lem-2,y57a10a.23
lem-2,t05e11.2
lem-2,ccb-1
lem-2,c06g1.2
lem-2,zc123.4
lem-2,c02e7.6
lem-2,bus-4
lem-2,zk1098.9
lem-2,nspd-5
lem-2,c04f12.12
lem-2,t02e1.6
lem-2,zk637.15
lem-2,c01g10.14
lem-2,zc581.10
lem-2,zk1053.2
lem-2,sdz-3
lem-2,c34d4.2
lem-2,f20d6.6
lem-2,y69e1a.3
lem-2,c08f8.6
lem-2,c25g4.7
lem-2,t05b4.14
lem-2,ttr-12
lem-2,d2062.6
lem-2,f27c1.3
lem-2,f59a6.4
lem-2,nep-23
lem-2,y50e8a.10
lem-2,y71g12b.3
lem-2,c47e12.11
lem-2,spe-26
lem-2,c54g4.3
lem-2,ssp-32
lem-2,zk616.61
lem-2,zk39.10
lem-2,f56d6.13
lem-2,zk688.12
lem-2,c02f5.5
lem-2,f46f5.9
lem-2,y47g6a.15
lem-2,abu-6
lem-2,lin-61
lem-2,msp-74
lem-2,lst-5
lem-2,zk816.1
lem-2,odd-1
lem-2,c25f9.14
lem-2,fat-6
lem-2,stl-1
lem-2,msp-64
lem-2,msp-33
lem-2,f58a6.9
lem-2,f27e5.7
lem-2,rsf-1
lem-2,nlp-27
lem-2,f36h12.5
lem-2,y37h2a.12
lem-2,f41f3.3
lem-2,r01b10.4
lem-2,f26g1.3
lem-2,f16b4.4
lem-2,d2062.7
lem-2,scrm-6
lem-2,c18h7.7
lem-2,ssp-31
lem-2,c02b10.6
lem-2,dao-4
lem-2,h28g03.1
lem-2,gly-11
lem-2,mig-6
lem-2,y48g8al.12
lem-2,y39e4b.6
lem-2,zk546.7
lem-2,ac3.16
lem-2,f36h12.10
lem-2,y58a7a.8
lem-2,sdn-1
lem-2,c25a1.1
lem-2,wht-3
lem-2,c42c1.9
lem-2,y51b9a.7
lem-2,try-7
lem-2,mev-1
lem-2,h05c05.2
lem-2,egl-30
lem-2,chup-1
lem-2,grl-8
lem-2,math-47
lem-2,lec-1
lem-2,f09a5.4
lem-2,dhs-13
lem-2,cas-1
lem-2,m163.1
lem-2,c10c5.7
lem-2,21ur-9599
lem-2,t21h3.5
lem-2,21ur-2146
lem-2,21ur-13402
lem-2,zk180.10
lem-2,c05b5.12
lem-2,21ur-12985
lem-2,21ur-6337
lem-2,rbg-2
lem-2,y47d9a.4
lem-2,b0454.18
lem-2,r09f10.17
lem-2,clec-208
lem-2,t10e9.12
lem-2,k11c4.8
lem-2,r09e10.t1
lem-2,r06a10.5
lem-2,21ur-10666
lem-2,f37c12.21
lem-2,f32b5.16
lem-2,r102.15
lem-2,21ur-13274
lem-2,21ur-2479
lem-2,r09e10.15
lem-2,alh-6
rsks-1,clec-47
rsks-1,b0024.4
rsks-1,m60.2
rsks-1,y54g2a.21
rsks-1,hsp-16.48
rsks-1,hsp-16.49
rsks-1,hsp-16.41
rsks-1,f15e6.3
rsks-1,cnc-7
rsks-1,hsp-16.11
rsks-1,hsp-16.1
rsks-1,hsp-16.2
rsks-1,c08e3.13
rsks-1,nlp-29
rsks-1,f15e6.4
rsks-1,nit-1
rsks-1,cnc-4
rsks-1,clec-222
rsks-1,unc-89
rsks-1,ric-4
rsks-1,egl-3
rsks-1,vet-1
rsks-1,f19b10.2
rsks-1,k06a5.2
rsks-1,c04f12.7
rsks-1,ram-2
rsks-1,f52h3.6
rsks-1,y59e9al.3
rsks-1,y59e9al.2
rsks-1,y106g6g.4
rsks-1,gipc-2
rsks-1,y38c1aa.7
rsks-1,nhr-43
rsks-1,w09d6.4
rsks-1,y47d3a.13
rsks-1,cth-1
rsks-1,c35e7.9
rsks-1,ttr-30
rsks-1,ttr-59
rsks-1,zk938.1
rsks-1,nas-9
rsks-1,gipc-1
rsks-1,gsp-3
rsks-1,f07a5.2
rsks-1,f17e9.5
rsks-1,spch-3
rsks-1,spch-2
rsks-1,t13f2.9
rsks-1,sss-1
rsks-1,y38h8a.4
rsks-1,y38h8a.3
rsks-1,c39h7.1
rsks-1,t07a5.1
rsks-1,f35h8.4
rsks-1,y105c5a.13
rsks-1,y105c5a.12
rsks-1,f32a11.3
rsks-1,nlp-25
rsks-1,c08e3.1
rsks-1,y43f8a.2
rsks-1,t08b6.4
rsks-1,clec-207
rsks-1,c26f1.1
rsks-1,grl-21
rsks-1,nlp-18
rsks-1,pdb1.1
rsks-1,hsp-12.3
rsks-1,grd-4
rsks-1,f08c6.5
rsks-1,clec-8
rsks-1,lips-15
rsks-1,f26a1.8
rsks-1,t26c5.4
rsks-1,cyp-34a8
rsks-1,cyp-34a9
rsks-1,d1086.2
rsks-1,d1086.1
rsks-1,c17g10.7
